id,conversation_id,customer_message,context,intent,expected_escalation,historical_resolution
AMZ-013,1708,"@115821 being charged for amazon prime &amp; when I go to cancel it, it’s saying I’m not a member😠😠😠","CUSTOMER: @115821 being charged for amazon prime &amp; when I go to cancel it, it’s saying I’m not a member😠😠😠 | BRAND: @116083 Hmm... We'd like to take a better look at this with you. Please reach us via phone/chat here: https://t.co/JzP7hlA23B ^KP | CUSTOMER: @AmazonHelp I have tried. It’s not allowing me to access my account to cancel my membership, I haven’t even used prime in almost 3 months. | BRAND: @116083 I'm sorry to hear you're not able to access your account. Please use this link instead to contact us: https://t.co/zYVX1Qi29G. ^LH",UNEXPECTED_CHARGE_OR_BILLING_ERROR,ESCALATE,"Brand apologised, linked a help/contact page, offered a phone/callback option. First reply: ""@116083 Hmm... We'd like to take a better look at this with you. Please reach us via phone/chat here: https://t.co/JzP7hlA23B ^KP"""
AMZ-014,1713,@AmazonHelp if I add another adult to my Amazon household (with their own account) can they see my wishlists/photos/order history?,"CUSTOMER: @AmazonHelp if I add another adult to my Amazon household (with their own account) can they see my wishlists/photos/order history? | BRAND: @116085 Thanks for reaching out to us! You can find info on adding household members here: https://t.co/i3uumZzaok ^MO | CUSTOMER: @AmazonHelp So essentially still two separate accounts, just sharing payment info? I don't want my family to see my Christmas shopping list 😂",ACCOUNT_ACCESS_OR_SECURITY,ESCALATE,"Brand linked a help/contact page. First reply: ""@116085 Thanks for reaching out to us! You can find info on adding household members here: https://t.co/i3uumZzaok ^MO"""
AMZ-015,1718,"I ordered some parts of my costume late, but my amazon has a map of the driver and they're like, 6 houses away.","CUSTOMER: I ordered some parts of my costume late, but my amazon has a map of the driver and they're like, 6 houses away. | BRAND: @116087 I'm sorry for the long wait; what is your current order status showing when you review it: https://t.co/Y5jpI9gRhE? ^WM | CUSTOMER: @AmazonHelp My package just got here. All good, thank you! | BRAND: @116087 Thank you for keeping us posted, Rachael! ^BA",DELIVERY_EXPERIENCE_OR_CARRIER_COMPLAINT,AUTO_HANDLE,"Brand apologised, linked a help/contact page. First reply: ""@116087 I'm sorry for the long wait; what is your current order status showing when you review it: https://t.co/Y5jpI9gRhE? ^WM"""
AMZ-016,1733,@116090 I signed up for Prime so I could preorder Battlefront II and get all the bonuses and now cust service is saying I won’t get bonus,"CUSTOMER: @116090 I signed up for Prime so I could preorder Battlefront II and get all the bonuses and now cust service is saying I won’t get bonus | CUSTOMER: @116090 Saying I preordered to early, terrible customer service. Won’t renew prime if this isn’t fixed. | BRAND: @116088 I'm sorry for the frustration, Anthony! Can you tell me more about which pre-order bonuses are missing? ^EA | CUSTOMER: @AmazonHelp Never got the beta and now I’m being told I won’t get ANY of the other stuff. Including Last Jedi content and or bonus classes. Anything! :( | BRAND: @116088 We'd like to see what we can do to help. What date did you place the order on, and which version did you order? ^MB | CUSTOMER: @AmazonHelp Deluxe edition on September 16th. It definitely had the pre orders on the profile because that’s why I ordered. Also why I paid for Prime..",PRIME_MEMBERSHIP_OR_SUBSCRIPTION,AUTO_HANDLE,"Brand apologised, linked a help/contact page, requested order/account details. First reply: ""@116088 I'm sorry for the frustration, Anthony! Can you tell me more about which pre-order bonuses are missing? ^EA"""
AMZ-017,1736,Two fake items in one day. Time to cancel my Amazon Prime membership. @AmazonHelp,"CUSTOMER: Two fake items in one day. Time to cancel my Amazon Prime membership. @AmazonHelp | BRAND: @116091 Oh no! I'm so sorry to hear this. Was the item sold by Amazon directly or Third-party seller: https://t.co/aaDyEz1VgE. ^LH | CUSTOMER: @AmazonHelp Fulfilled by Amazon. It’s quite disturbing you’re selling counterfeit items, and can’t be trusted. | BRAND: @116091 We'd like to look into this with you in real time, Bry. When you can, please ring or chat in with us: https://t.co/JzP7hlA23B ^BL | CUSTOMER: @AmazonHelp Already have and the assistance I received was absolutely useless and rude.",ITEM_DAMAGED_WRONG_OR_COUNTERFEIT,ESCALATE,"Brand apologised, linked a help/contact page. First reply: ""@116091 Oh no! I'm so sorry to hear this. Was the item sold by Amazon directly or Third-party seller: https://t.co/aaDyEz1VgE. ^LH"""
AMZ-018,1741,@115821 please spend time &amp; money to fix your app. Constant issues with it.,"CUSTOMER: @115821 please spend time &amp; money to fix your app. Constant issues with it. | BRAND: @116092 Oh no, Barton! Have you tried uninstalling and re-installing the app? Perhaps a power cycle too? Please let us know. ^KL | CUSTOMER: @AmazonHelp I have. No luck. | BRAND: @116092 Sorry you're still having trouble! What error are you seeing when you try to use the app? ^JP",DEVICE_OR_DIGITAL_SERVICE_ISSUE,ESCALATE,"Brand apologised. First reply: ""@116092 Oh no, Barton! Have you tried uninstalling and re-installing the app? Perhaps a power cycle too? Please let us know. ^KL"""
AMZ-019,1745,My Kindle not working properly is breaking my heart! 😩💔,"CUSTOMER: My Kindle not working properly is breaking my heart! 😩💔 | BRAND: @116093 Oh no! We'd like to help you with this, Kelly! Can you tell us more about what's happening with the Kindle? Thanks! ^AJ | CUSTOMER: @AmazonHelp It’s not allowing me to update it to register my new amazon account. I read I’d have to do so manually. Thx 4 response. | BRAND: @116093 No problem! You may need to deregister the Kindle from the old account. You can see how here: https://t.co/zyUJKBZObw ^AJ",DEVICE_OR_DIGITAL_SERVICE_ISSUE,AUTO_HANDLE,"Brand apologised, linked a help/contact page. First reply: ""@116093 Oh no! We'd like to help you with this, Kelly! Can you tell us more about what's happening with the Kindle? Thanks! ^AJ"""
AMZ-020,1748,@AmazonHelp that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!! https://t.co/EIY6DZUCDC,"CUSTOMER: @AmazonHelp that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!! https://t.co/EIY6DZUCDC | BRAND: @116094 I'm so sorry! We'd like to make sure this is addressed. Please provide some details here: https://t.co/KctVgMFvbp (1/2) | BRAND: @116094 (2/2) Also, for your security, I'd recommend deleting the image, as it contains your tracking number. ^WT",DELIVERY_LATE_OR_NOT_ARRIVED,AUTO_HANDLE,"Brand apologised, linked a help/contact page, requested order/account details. First reply: ""@116094 I'm so sorry! We'd like to make sure this is addressed. Please provide some details here: https://t.co/KctVgMFvbp (1/2)"""
AMZ-021,2549,"@AmazonHelp Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it. Can you help? Thanks","CUSTOMER: @AmazonHelp Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it. Can you help? Thanks | BRAND: @116314 I'm sorry you haven't received it yet! Have you had an e-mail regarding the order? Please check junk/spam and let us know! ^TG | CUSTOMER: @AmazonHelp Yeah I sent you a DM too. Had an email saying when it had been dispatched but nothing since. | BRAND: @116314 We're unable to view any account information via Twitter. What's the current tracking shown here: https://t.co/aaDyEz1VgE? ^AG | CUSTOMER: @AmazonHelp Wasn't tracked as sent via Royal Mail. I've emailed the seller. | BRAND: @116314 How long has it been since you've e-mailed the seller? ^TR",DELIVERY_LATE_OR_NOT_ARRIVED,AUTO_HANDLE,"Brand apologised, linked a help/contact page. First reply: ""@116314 I'm sorry you haven't received it yet! Have you had an e-mail regarding the order? Please check junk/spam and let us know! ^TG"""
AMZ-022,2553,"@116316 Hi. How can I restrict results to German language books, while searching titles on amazon.de?","CUSTOMER: @116316 Hi. How can I restrict results to German language books, while searching titles on amazon.de? | BRAND: @116315 Hi, just a question at the beginning - do you prefer answers in German or English? ^NW | CUSTOMER: @AmazonHelp I'm learning German, so I don't really mind between German/English. If I have to choose, I say German. | BRAND: @116315 Du kannst bei den Kategorien ""Bücher"" oder ""Bücher Fremdsprachig"" auswählen, wobei ersteres deinem Wunsch entspricht. Gruß ^JS",DEVICE_OR_DIGITAL_SERVICE_ISSUE,AUTO_HANDLE,"Brand replied without a clear resolution action. First reply: ""@116315 Hi, just a question at the beginning - do you prefer answers in German or English? ^NW"""
AMZ-023,2559,"@AmazonHelp hello, I’m having an issue with a same day ship order. Can you help me?","CUSTOMER: @AmazonHelp hello, I’m having an issue with a same day ship order. Can you help me? | BRAND: @116317 Hello! We'd love to help. Can you tell us a bit more about what's happening? ^EB | CUSTOMER: @AmazonHelp I made a same day ship mid Monday and it said it would deliver that day. It didn’t. Today it still says out for delivery, still no show. | BRAND: @116317 I'm so sorry for the late delivery, Kimmie! Our carriers can deliver until 8 PM, please keep us updated on its arrival. ^BE | CUSTOMER: @AmazonHelp I allowed it well past 8 PM. I was never notified about any other delays | BRAND: @116317 I'm sorry that it still hasn't arrived. Please contact us so that we can look into this together: https://t.co/hApLpMlfHN ^EA",GENERAL_SERVICE_COMPLAINT,ESCALATE,"Brand apologised, linked a help/contact page. First reply: ""@116317 Hello! We'd love to help. Can you tell us a bit more about what's happening? ^EB"""
AMZ-024,2561,Erm @AmazonHelp I bought this item for £5.99... why am I only getting £1.67 back?! https://t.co/lb33bFOcW0,CUSTOMER: Erm @AmazonHelp I bought this item for £5.99... why am I only getting £1.67 back?! https://t.co/lb33bFOcW0 | BRAND: @116318 We'd like to take a closer look into this refund for you. Please reach us at:https://t.co/JzP7hlA23B ^CC | BRAND: @116318 I'm sorry you didn't receive the refund amount you expected. Please check here for more info: https://t.co/I5rEOyBt2k ^BT,REFUND_STATUS_OR_AMOUNT,ESCALATE,"Brand apologised, linked a help/contact page, pointed to refund/replacement options. First reply: ""@116318 We'd like to take a closer look into this refund for you. Please reach us at:https://t.co/JzP7hlA23B ^CC"""
AMZ-025,2568,"Hey @115821, why is your Prime 2-day delivery not arriving until Monday? Is there a holiday I don't know about?","CUSTOMER: Hey @115821, why is your Prime 2-day delivery not arriving until Monday? Is there a holiday I don't know about? | BRAND: @116320 Most items are readily available for shipping; however, some aren't and may have a longer processing time than others. ^QJ | CUSTOMER: @AmazonHelp Bummer! I was hoping to get it quick. Oh well! Thanks for the response.",DELIVERY_NOT_RECEIVED_BUT_MARKED_DELIVERED,ESCALATE,"Brand replied without a clear resolution action. First reply: ""@116320 Most items are readily available for shipping; however, some aren't and may have a longer processing time than others. ^QJ"""
AMZ-026,2577,@115830 amazonuk took money without any https://t.co/w25zXi7DYp they are not giving it back nor giving clear statement of my refund proces,"CUSTOMER: @115830 amazonuk took money without any https://t.co/w25zXi7DYp they are not giving it back nor giving clear statement of my refund proces | BRAND: @116321 I'm sorry for the frustration! Without giving personal/account details, could you tell us a bit more about what's going on? ^DG | CUSTOMER: @AmazonHelp yeh sure.i was in uk.came back to india,used my indian bank account to purchase.amazonuk took money for prime.i cancelled it | CUSTOMER: @AmazonHelp and redund issued on 13th https://t.co/1uydlorGCp no sing of my money and amazonuk just saying its in the billing department.no signof devlp | BRAND: @116321 When you last contacted us what information did we provide? Have you spoken with your bank to see if they have the refund? ^LR | CUSTOMER: @AmazonHelp i mailed amazonuk so many time. but i havent got any progress.customer care just saying thats in the billing section.no i havent got refund",REFUND_STATUS_OR_AMOUNT,ESCALATE,"Brand apologised, linked a help/contact page, requested order/account details, pointed to refund/replacement options, said it would escalate internally. First reply: ""@116321 I'm sorry for the frustration! Without giving personal/account details, could you tell us a bit more about what's going on? ^DG"""
AMZ-027,2580,the @amazonhelp queue is clueless on Amazon Household,"CUSTOMER: the @amazonhelp queue is clueless on Amazon Household | BRAND: @116322 I'm sorry for the frustration! Without giving account/personal details, can you please provide us with more info? ^AC | CUSTOMER: @AmazonHelp legacy ""shared prime benefits"" account trying to join an amazon household of the prim. account holder to share echo and set up voice profile | CUSTOMER: @AmazonHelp I've been in the prime queue, kindle queue, the echo queue, and now on hold again. | BRAND: @116322 We'd like to look deeper into this issue. Please provide us with more information here: https://t.co/wpDDiHUP4k. ^LH",ACCOUNT_ACCESS_OR_SECURITY,ESCALATE,"Brand apologised, linked a help/contact page, requested order/account details. First reply: ""@116322 I'm sorry for the frustration! Without giving account/personal details, can you please provide us with more info? ^AC"""
AMZ-028,2586,@116324 not dlvd after 1 wk. U lied 2 @AmazonHelp saying left in safe place on Fri. Yesterday u said wld be dlvd 24-48hrs. Sort this now!,CUSTOMER: @116324 not dlvd after 1 wk. U lied 2 @AmazonHelp saying left in safe place on Fri. Yesterday u said wld be dlvd 24-48hrs. Sort this now! | BRAND: @116323 I'm sorry your order hasn't arrived yet! Please let us know if you haven't received it within 48 hours. ^EB | CUSTOMER: @AmazonHelp Well ok but @116324 said it’s been dlvd so I can’t see how they will bother to deliver it now! I think they have washed their hands of it | BRAND: @116323 We're definitely here to help! Please reach out to us by phone here: https://t.co/JzP7hlA23B ^SE,DELIVERY_NOT_RECEIVED_BUT_MARKED_DELIVERED,ESCALATE,"Brand apologised, linked a help/contact page, offered a phone/callback option. First reply: ""@116323 I'm sorry your order hasn't arrived yet! Please let us know if you haven't received it within 48 hours. ^EB"""
AMZ-029,2602,Rapidly losing faith in @115821 and their #esl CS ability to solve problems. No resolutions or follow ups.,"CUSTOMER: Rapidly losing faith in @115821 and their #esl CS ability to solve problems. No resolutions or follow ups. | BRAND: @116325 Sorry for the poor experience. Without giving any account information, could you tell us what's going on? We'd love top help! ^MH | CUSTOMER: @AmazonHelp Prob 1: can’t get @123967 shipments because del person has medical conditions. Non delivered and lost packages. | CUSTOMER: @AmazonHelp Prob 2: most purchases refused: CC declined. But @117157 says there’s no problem | CUSTOMER: @AmazonHelp Multiple calls to call amazon call center with zero resolution and never a promised call back. | BRAND: @116325 Can you tell us what insight / advice was provided with when you spoke with us last? We'd like to help if we can. ^BG",GENERAL_SERVICE_COMPLAINT,ESCALATE,"Brand apologised, linked a help/contact page, offered a phone/callback option. First reply: ""@116325 Sorry for the poor experience. Without giving any account information, could you tell us what's going on? We'd love top help! ^MH"""
AMZ-030,3655,"just noticed I paid £4.95 delivery on Amazon simply because I did not select the FREE delivery option, after I spent enough to qualify... what a RIP OFF, why is it not free automatically when qualifying @115830","CUSTOMER: just noticed I paid £4.95 delivery on Amazon simply because I did not select the FREE delivery option, after I spent enough to qualify... what a RIP OFF, why is it not free automatically when qualifying @115830 | BRAND: @116586 Hi, you can edit your order at any time before it enters the dispatch process. To do this please check out our help page: https://t.co/wRa3FyXyBb ^KI | BRAND: @116586 Sorry to hear this. Did you select Free delivery at the checkout? ^PK | CUSTOMER: @AmazonHelp No this is my point why would Amazon automatically select a pay for delivery option after I purposely spent more on shopping to qualify for FREE delivery. I am seriously annoyed with Amazon for being this misleading | BRAND: @116586 I do apologise Jacob. If you can reach out to us here: https://t.co/JzP7hlRCV9 We will be happy to look into this for you. ^PK | CUSTOMER: @AmazonHelp Done",DELIVERY_LATE_OR_NOT_ARRIVED,AUTO_HANDLE,"Brand apologised, linked a help/contact page, gave troubleshooting guidance. First reply: ""@116586 Hi, you can edit your order at any time before it enters the dispatch process. To do this please check out our help page: https://t.co/wRa3FyXyBb ^KI"""
AMZ-031,3726,@115830 Why do you say that an article is eligible for free delivery then offer nothing but standard option at £4.75?,"CUSTOMER: @115830 Why do you say that an article is eligible for free delivery then offer nothing but standard option at £4.75? | BRAND: @116610 Is everything in your basket eligible? You can find more info here: https://t.co/d1x19RiAXm Let us know if this helps! ^EB | CUSTOMER: @AmazonHelp There was only one costing a lot more than £20 and FBA -stating eligibility ! | BRAND: @116610 We'd like to take a look into this with you. When you have a moment, please reach out to us here: https://t.co/qy3J24VGxb ^AC | CUSTOMER: @AmazonHelp Have completed form and emailed you.",DELIVERY_NOT_RECEIVED_BUT_MARKED_DELIVERED,ESCALATE,"Brand linked a help/contact page. First reply: ""@116610 Is everything in your basket eligible? You can find more info here: https://t.co/d1x19RiAXm Let us know if this helps! ^EB"""
AMZ-032,3729,@AmazonHelp i reset my password 3 times and it still says incorrect you gotta be shitting me,CUSTOMER: @AmazonHelp i reset my password 3 times and it still says incorrect you gotta be shitting me | BRAND: @116611 I'm sorry for the trouble! Have you tried the steps outlined here? https://t.co/POJ37mWiEk ^LA | CUSTOMER: @AmazonHelp All of them | BRAND: @116611 Hmm.... Let's take a closer look into what's going on here: https://t.co/jzvkhdlrK5 ^ML,ACCOUNT_ACCESS_OR_SECURITY,ESCALATE,"Brand apologised, linked a help/contact page, gave troubleshooting guidance. First reply: ""@116611 I'm sorry for the trouble! Have you tried the steps outlined here? https://t.co/POJ37mWiEk ^LA"""
AMZ-033,3733,"@AmazonHelp um, my account was locked as soon as I tried to login on desktop. I still haven’t received an email on how to get it unlocked...","CUSTOMER: @AmazonHelp um, my account was locked as soon as I tried to login on desktop. I still haven’t received an email on how to get it unlocked... | BRAND: @116612 I'm sorry your account is locked! Please reach out directly to us here: https://t.co/jzvkhdlrK5 so we can take a closer look. ^TN | CUSTOMER: @AmazonHelp I can’t log in because it’s locked. | BRAND: @116612 The link ^TN provided will allow you to contact us without signing in! Select ""skip log in"" and you'll be in touch in no time! ^VB",DELIVERY_LATE_OR_NOT_ARRIVED,AUTO_HANDLE,"Brand apologised, linked a help/contact page. First reply: ""@116612 I'm sorry your account is locked! Please reach out directly to us here: https://t.co/jzvkhdlrK5 so we can take a closer look. ^TN"""
